district, hot, not
G12027, 6, 0
G26001, 1, 6
G26002, 1, 4
G45003, 0, 4
G22005, 0, 4
G06003, 0, 3
G25005, 2, 1
G47007, 0, 3
G04008, 0, 2
G72098, 0, 5
G18006, 2, 2
G06048, 1, 3
G31003, 1, 3
G06051, 1, 4
G42018, 1, 3
G45005, 1, 3
G34001, 4, 5
G06022, 0, 3
G54003, 0, 6
G48007, 1, 4
G34007, 2, 2
G36015, 1, 3
G34009, 0, 3
G53007, 0, 3
G39007, 0, 4
G06031, 1, 3
G06052, 0, 2
G42011, 1, 3
G56000, 0, 4
G50000, 0, 5
G17004, 3, 4
G39014, 0, 6
G17002, 2, 2
G53010, 0, 6
G28001, 1, 2
G06050, 0, 5
G04007, 0, 2
G06034, 1, 2
G21006, 0, 4
G37005, 0, 2
G24004, 0, 1
G13001, 0, 5
G34002, 0, 5
G24005, 0, 7
G12007, 4, 0
G29006, 1, 3
G12013, 6, 0
G12022, 5, 0
G36019, 2, 5
G24006, 0, 3
G06045, 1, 3
G06004, 1, 4
G06053, 0, 3
G34008, 1, 3
G34011, 0, 3
G20003, 0, 2
G26005, 0, 2
G01001, 0, 3
G08001, 1, 5
G06040, 0, 2
G45004, 1, 2
G36025, 2, 4
G39012, 0, 4
G51003, 0, 1
G17009, 1, 6
G12004, 2, 2
G55005, 2, 3
G12019, 3, 1
G06027, 2, 2
G21001, 0, 4
G06012, 1, 6
G55002, 0, 3
G39015, 0, 2
G48016, 1, 3
G36012, 1, 3
G05003, 3, 3
G39016, 0, 3
G06019, 1, 6
G12002, 1, 2
G54002, 1, 3
G51010, 0, 2
G48022, 0, 4
G38000, 0, 4
G37011, 0, 3
G17010, 1, 6
G22002, 0, 4
G36005, 1, 3
G25009, 0, 1
G33002, 0, 4
G18003, 1, 6
G08003, 0, 4
G36023, 1, 4
G27005, 2, 4
G36006, 1, 3
G12005, 3, 0
G12023, 7, 1
G12010, 2, 0
G47003, 0, 5
G12001, 2, 0
G49001, 0, 4
G26009, 0, 3
G02000, 1, 5
G27002, 0, 3
G09005, 1, 5
G44001, 0, 5
G48004, 0, 5
G51004, 0, 5
G42008, 1, 6
G17001, 0, 4
G13012, 0, 4
G06043, 1, 3
G39013, 0, 2
G47006, 0, 3
G34003, 0, 5
G48034, 0, 2
G06044, 1, 2
G17016, 1, 4
G37007, 0, 5
G24007, 0, 5
G39011, 0, 7
G06033, 0, 3
G53005, 1, 2
G36014, 1, 3
G19003, 0, 3
G37003, 0, 2
G21005, 0, 3
G06036, 1, 4
G48013, 2, 5
G39006, 0, 3
G12008, 5, 0
G42004, 3, 2
G06008, 0, 6
G51011, 2, 4
G34005, 0, 4
G25001, 1, 4
G48020, 0, 2
G27008, 0, 2
G53004, 0, 5
G45002, 0, 2
G29004, 0, 5
G25004, 0, 1
G06001, 0, 3
G24003, 0, 5
G31001, 0, 7
G45007, 2, 4
G42012, 0, 3
G11098, 2, 6
G48026, 0, 3
G13006, 2, 2
G28002, 0, 1
G48019, 0, 4
G53006, 2, 3
G37013, 0, 3
G41005, 0, 5
G49002, 1, 4
G12009, 4, 0
G39004, 0, 6
G40003, 1, 2
G51001, 0, 5
G40004, 1, 2
G48035, 0, 1
G16001, 1, 1
G42017, 0, 4
G37010, 0, 3
G06041, 1, 4
G18009, 0, 3
G42016, 0, 3
G06009, 1, 3
G51008, 0, 3
G05002, 2, 2
G37012, 1, 4
G08004, 1, 4
G48005, 0, 6
G36003, 1, 3
G51007, 0, 5
G47005, 3, 4
G42015, 2, 2
G17014, 0, 5
G37006, 0, 5
G12014, 3, 0
G25003, 1, 3
G15002, 1, 3
G27007, 1, 3
G06005, 0, 6
G04009, 0, 2
G29005, 0, 4
G17012, 1, 2
G26003, 1, 4
G12017, 3, 1
G48009, 1, 5
G26007, 1, 7
G26010, 2, 3
G35002, 1, 5
G25008, 1, 3
G42006, 1, 5
G32003, 0, 5
G10000, 0, 4
G13002, 1, 4
G32001, 0, 5
G29008, 0, 6
G04001, 0, 3
G13003, 0, 3
G24002, 0, 3
G36018, 1, 3
G06030, 0, 3
G06038, 0, 2
G06011, 1, 3
G29007, 1, 4
G06039, 1, 3
G28004, 1, 5
G36001, 0, 4
G08005, 0, 4
G29002, 0, 3
G22006, 0, 1
G29003, 0, 3
G36010, 0, 4
G51002, 0, 3
G18007, 0, 6
G32004, 0, 3
G13011, 0, 3
G04005, 0, 1
G26011, 0, 4
G48023, 1, 6
G47004, 0, 3
G37001, 0, 4
G36013, 0, 5
G06006, 2, 3
G01007, 1, 4
G29001, 1, 4
G22001, 0, 4
G42010, 1, 2
G17017, 0, 3
G12018, 4, 0
G15001, 1, 5
G22003, 1, 4
G48014, 0, 6
G19004, 0, 5
G06032, 0, 5
G48036, 0, 3
G17006, 1, 7
G36002, 2, 3
G55007, 0, 6
G47008, 0, 4
G06018, 0, 7
G18005, 2, 4
G27001, 1, 4
G05004, 0, 6
G17013, 1, 4
G36016, 1, 3
G26006, 3, 6
G06029, 1, 2
G48006, 0, 6
G39001, 0, 3
G09002, 0, 3
G12016, 4, 1
G06024, 2, 6
G09003, 1, 3
G06023, 0, 3
G37002, 0, 6
G18008, 3, 3
G48017, 1, 7
G40001, 1, 3
G12003, 3, 0
G53008, 0, 3
G26014, 0, 5
G12011, 6, 1
G30000, 1, 5
G48025, 0, 3
G12006, 0, 2
G25006, 0, 4
G06015, 0, 5
G40002, 2, 2
G26008, 0, 2
G41004, 4, 5
G13009, 1, 2
G17011, 0, 3
G20001, 2, 2
G04002, 0, 3
G39008, 1, 5
G20002, 0, 4
G47001, 0, 2
G18001, 1, 6
G20004, 1, 3
G41003, 1, 4
G36027, 1, 6
G36009, 3, 3
G39009, 1, 5
G21004, 0, 7
G42007, 2, 3
G39005, 2, 4
G55001, 2, 1
G41001, 1, 4
G17005, 1, 1
G18004, 1, 2
G08002, 1, 5
G26012, 0, 6
G22004, 0, 4
G25002, 2, 3
G12024, 5, 0
G48011, 0, 8
G06002, 1, 2
G13008, 1, 4
G42003, 1, 1
G24001, 0, 2
G31002, 1, 2
G27004, 0, 5
G25007, 0, 2
G12025, 2, 0
G34006, 1, 7
G55003, 0, 2
G06042, 0, 4
G23002, 0, 1
G37004, 0, 5
G23001, 0, 4
G45001, 0, 3
G26004, 0, 3
G18002, 3, 4
G06028, 0, 3
G13004, 0, 4
G44002, 1, 4
G48003, 1, 6
G27006, 0, 4
G36024, 0, 3
G01002, 0, 4
G48015, 0, 2
G06046, 0, 2
G48012, 0, 5
G48008, 2, 6
G42009, 1, 1
G40005, 0, 3
G48024, 0, 4
G48030, 1, 4
G36022, 1, 2
G39010, 2, 1
G21003, 3, 3
G17008, 0, 5
G42013, 0, 5
G36008, 0, 3
G08007, 0, 2
G04006, 3, 3
G48010, 0, 5
G55008, 0, 5
G36007, 0, 5
G36017, 2, 3
G48032, 1, 6
