GISJOIN,total,white,black,amin,asian,nhpi,other,tworaces,nohisp,hisp,over25,highschool,ged,collegelt1,collegegt1,assocdeg,bachdeg,mastersdeg,profdeg,doctoraldeg,povlthalf,povbtnhalfone,povover2,over16,inlabforce,notinlabforce
G01001,706503,474235,195105,7457,10168,143,7299,12096,683855,22648,482421,133726,25477,28034,74655,40453,77118,29727,6782,3598,55067,64852,432936,47952,562813,247035
G01002,680575,435962,213030,2785,7746,131,6811,14110,656410,24165,461250,119753,27988,28025,70919,39230,64504,29190,6108,3860,53858,69340,400272,46817,543693,233064
G01003,706705,491801,180187,2224,12963,186,6076,13268,684817,21888,472759,120716,28278,31780,76687,40059,61027,29650,6497,5329,57814,67027,412740,46576,568954,244948
G01004,683391,597543,48087,5563,3797,822,14669,12910,639036,44355,471629,129491,32062,32102,68932,40880,49765,22744,5153,3417,49288,72371,396993,43458,545394,250322
G01005,714145,542649,124871,4600,11849,534,10947,18695,677764,36381,490800,105508,26949,28609,74190,39310,98811,44794,6204,6474,41779,58606,471505,55043,575456,230274
G01006,703715,552289,108604,1635,12246,143,16269,12529,669725,33990,482235,103667,19358,27878,72924,37825,107900,43425,14625,8124,29718,42649,510922,65464,557489,209507
G01007,669646,222974,423302,1312,5840,223,7984,8011,649927,19719,438864,125915,21284,23106,75814,35736,56318,22312,5060,4079,73435,93596,323915,36447,540897,242382
G02000,738516,478834,24129,106660,46556,8849,11027,62461,687330,51186,477727,107913,25938,35716,93703,40052,88053,36794,9506,5292,35602,42263,537745,76715,571528,175175
G04001,753580,491777,17359,175069,12628,1427,28051,27269,583124,170456,491840,108546,23361,34055,94456,42488,71325,36387,6886,6266,75121,70032,423119,52705,592954,285535
G04002,719924,585124,28453,10885,22597,1716,38885,32264,515278,204646,502450,87636,18581,37972,93102,48915,98460,49529,12201,10826,44550,61052,457250,52267,590333,252355
G04003,771436,536221,37246,35492,14455,1337,116298,30387,290438,480998,458653,101359,24485,33113,80288,35375,49457,18586,3501,2543,69721,94050,382072,46643,585682,230482
G04004,768077,679435,14332,13912,10152,1360,28365,20521,620430,147647,565335,138256,29642,56865,109036,51208,68981,29295,6128,4387,48126,53542,474708,50135,637328,338286
G04005,803186,678699,26244,8985,37883,1722,23242,26411,656594,146592,532665,99106,15784,44422,95286,50020,123261,51135,9829,7111,34033,36521,624270,74185,617183,225249
G04006,776729,657668,21177,12785,39008,812,21832,23447,643882,132847,562540,86570,14569,36199,89305,45494,153469,65029,19626,9669,42927,43053,576191,70776,637711,228508
G04007,801173,508453,78929,23754,20461,1561,136003,32012,287899,513274,462196,106953,23089,28306,64087,29795,44033,16427,3481,2348,98845,126512,337845,41714,582280,211336
G04008,777804,648747,36422,6227,30385,1356,27669,26998,623799,154005,545799,116835,20165,48377,104897,52199,103228,43977,8167,5093,32435,34535,581435,65813,624470,263765
G04009,774776,578017,45097,22471,41318,2821,51478,33574,561929,212847,512454,82594,15020,32727,89668,42653,122906,52246,13204,9074,63567,63570,496507,56869,630885,188784
G05001,722915,563593,126575,2940,3670,465,7712,17960,698763,24152,493187,148810,39759,35559,74614,35915,52705,21270,4139,2861,55264,80945,385809,40980,574357,262237
G05002,760604,543346,171470,2365,12214,416,11173,19620,721120,39484,507355,127896,24452,30963,84606,37041,93065,38272,10616,8274,51223,65642,474804,50929,601928,232299
G05003,795817,666306,24606,9220,23537,6751,40505,24892,682474,113343,513369,127647,27631,34677,79087,32154,90068,34900,9051,5898,46850,71314,485547,50554,619154,235721
G05004,711335,529629,138319,5512,4567,337,19591,13380,669262,42073,485396,153455,31573,34861,76997,33960,52882,20913,3773,2934,57127,81972,383353,40937,568669,261492
